brand,model_name,variant,price_inr,price_on_road_chennai,mileage_value,mileage_unit,tank_capacity_l,service_cost_per_year_avg,engine_cc_num,power_bhp,torque_nm,top_speed,ground_clearance_mm,boot_space_l,sunroof_yes,cruise_control_yes,adas_level_num,airbags_num,body_type,fuel_type,mileage,tank_capacity,service_cost_per_year,engine_cc,power,torque,transmission_type,drive_type,ground_clearance,seating_capacity,sunroof_moonroof,cruise_control,airbags,adas_levels,boot_space
Tata,Nexon,Smart Petrol DCA (ADAS),1025000,₹10.25 Lakh,17.18,kmpl,44.0,7250.0,1199.0,110.0,170.0,180 kmph,208.0,,1.0,1.0,1,6,SUV,Petrol,17.18 kmpl,44 litres,"₹6,500 - ₹8,000",1199 cc,110 bhp @ 5500 rpm,170 Nm @ 2000-4000 rpm,7-Speed DCT,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)","Level 1 ADAS (Adaptive Cruise Control, Lane Departure Warning)",
Tata,Nexon,Smart Diesel MT,1074000,₹10.74 Lakh,23.23,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,SUV,Diesel,23.23 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Smart Diesel AMT,1135000,₹11.35 Lakh,24.08,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,SUV,Diesel,24.08 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Automatic,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Pure Diesel AMT,1048000,₹10.48 Lakh,24.08,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,SUV,Diesel,24.08 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Automatic,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Smart CNG MT,984000,₹9.84 Lakh,17.44,km/kg,44.0,7250.0,1199.0,98.0,150.0,170 kmph,208.0,,0.0,1.0,0,6,SUV,CNG,17.44 km/kg,44 litres,"₹6,500 - ₹8,000",1199 cc,98 bhp @ 5000 rpm,150 Nm @ 1800-3000 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Fearless Plus Petrol MT,1549000,₹15.49 Lakh,17.44,kmpl,44.0,7250.0,1199.0,110.0,170.0,180 kmph,208.0,,1.0,1.0,0,6,SUV,Petrol,17.44 kmpl,44 litres,"₹6,500 - ₹8,000",1199 cc,110 bhp @ 5500 rpm,170 Nm @ 2000-4000 rpm,5-Speed Manual,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Fearless Plus Diesel AMT,1758000,₹17.58 Lakh,24.08,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,1.0,1.0,0,6,SUV,Diesel,24.08 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Automatic,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Punch,Pure Petrol MT,663000,₹6.63 Lakh,18.82,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,0.0,1.0,0,2,SUV,Petrol,18.82 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,187 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Punch,Adventure Petrol MT,786000,₹7.86 Lakh,18.82,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,1.0,1.0,0,2,SUV,Petrol,18.82 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Creative Petrol MT,824000,₹8.24 Lakh,18.82,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,1.0,1.0,0,2,SUV,Petrol,18.82 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Creative Petrol AMT,909000,₹9.09 Lakh,18.8,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,1.0,1.0,0,2,SUV,Petrol,18.8 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed AMT,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Pure CNG MT,800000,₹8.00 Lakh,26.99,km/kg,60.0,5000.0,1199.0,72.0,103.0,150 kmph,187.0,,0.0,1.0,0,2,SUV,CNG,26.99 km/kg,60 litres,"₹4,500 - ₹5,500",1199 cc,72 bhp @ 6000 rpm,103 Nm @ 3250 rpm,6-Speed Manual,FWD,187 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Punch,Accomplished CNG MT,925000,₹9.25 Lakh,26.99,km/kg,60.0,5000.0,1199.0,72.0,103.0,150 kmph,187.0,,1.0,1.0,0,2,SUV,CNG,26.99 km/kg,60 litres,"₹4,500 - ₹5,500",1199 cc,72 bhp @ 6000 rpm,103 Nm @ 3250 rpm,6-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Accomplished Plus CNG Dual Tone,1109000,₹11.09 Lakh,26.99,km/kg,60.0,5000.0,1199.0,72.0,103.0,150 kmph,187.0,,1.0,1.0,0,2,SUV,CNG,26.99 km/kg,60 litres,"₹4,500 - ₹5,500",1199 cc,72 bhp @ 6000 rpm,103 Nm @ 3250 rpm,6-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Curvv,Smart Petrol MT,1170000,₹11.70 Lakh,12.0,kmpl,44.0,17550.0,1199.0,120.0,170.0,185 kmph,208.0,,0.0,1.0,0,6,Coupe SUV,Petrol,12 kmpl,44 litres,"₹16,100 - ₹19,000",1199 cc,120 bhp @ 5500 rpm,170 Nm @ 1750-4000 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Curvv,Pure Plus Petrol MT,1390000,₹13.90 Lakh,12.0,kmpl,44.0,17550.0,1199.0,120.0,170.0,185 kmph,208.0,,0.0,1.0,0,6,Coupe SUV,Petrol,12 kmpl,44 litres,"₹16,100 - ₹19,000",1199 cc,120 bhp @ 5500 rpm,170 Nm @ 1750-4000 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Curvv,Smart Diesel MT,1410000,₹14.10 Lakh,15.0,kmpl,44.0,19500.0,1497.0,116.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,Coupe SUV,Diesel,15 kmpl,44 litres,"₹18,000 - ₹21,000",1497 cc,116 bhp @ 4000 rpm,260 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Curvv,Pure Plus Diesel MT,1560000,₹15.60 Lakh,15.0,kmpl,44.0,19500.0,1497.0,116.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,Coupe SUV,Diesel,15 kmpl,44 litres,"₹18,000 - ₹21,000",1497 cc,116 bhp @ 4000 rpm,260 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Curvv,Creative Petrol MT,1612000,₹16.12 Lakh,12.0,kmpl,44.0,17550.0,1199.0,120.0,170.0,185 kmph,208.0,,1.0,1.0,0,6,Coupe SUV,Petrol,12 kmpl,44 litres,"₹16,100 - ₹19,000",1199 cc,120 bhp @ 5500 rpm,170 Nm @ 1750-4000 rpm,6-Speed Manual,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Curvv,Creative Diesel MT,1788000,₹17.88 Lakh,15.0,kmpl,44.0,19500.0,1497.0,116.0,260.0,180 kmph,208.0,,1.0,1.0,0,6,Coupe SUV,Diesel,15 kmpl,44 litres,"₹18,000 - ₹21,000",1497 cc,116 bhp @ 4000 rpm,260 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Curvv,Accomplished S Petrol DCA,2100000,₹21.00 Lakh,11.0,kmpl,44.0,17550.0,1199.0,120.0,170.0,185 kmph,208.0,,1.0,1.0,2,6,Coupe SUV,Petrol,11 kmpl,44 litres,"₹16,100 - ₹19,000",1199 cc,120 bhp @ 5500 rpm,170 Nm @ 1750-4000 rpm,7-Speed DCA (DCT),FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 2 ADAS (available),
Tata,Curvv,Accomplished Plus A Diesel DCA,2360000,₹23.60 Lakh,13.0,kmpl,44.0,19500.0,1497.0,116.0,260.0,180 kmph,208.0,,1.0,1.0,2,6,Coupe SUV,Diesel,13 kmpl,44 litres,"₹18,000 - ₹21,000",1497 cc,116 bhp @ 4000 rpm,260 Nm @ 1500-2750 rpm,7-Speed DCA (DCT),FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 2 ADAS (available),
Tata,Tigor,XM Petrol MT,653000,₹6.53 Lakh,19.28,kmpl,35.0,3875.0,1199.0,84.48,113.0,165 kmph,165.0,,0.0,0.0,0,2,Sedan,Petrol,19.28 kmpl,35 litres,"₹3,050 - ₹4,700",1199 cc,84.48 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,165 mm,5,No,No,2 (Dual Front),Not Available,
Tata,Tigor,XT Petrol MT,738000,₹7.38 Lakh,19.28,kmpl,35.0,3875.0,1199.0,84.48,113.0,165 kmph,165.0,,0.0,1.0,0,2,Sedan,Petrol,19.28 kmpl,35 litres,"₹3,050 - ₹4,700",1199 cc,84.48 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XTA Petrol AMT,797000,₹7.97 Lakh,19.6,kmpl,35.0,3875.0,1199.0,84.48,113.0,165 kmph,165.0,,0.0,1.0,0,2,Sedan,Petrol,19.60 kmpl,35 litres,"₹3,050 - ₹4,700",1199 cc,84.48 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed AMT,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XZ Petrol MT,803000,₹8.03 Lakh,19.28,kmpl,35.0,3875.0,1199.0,84.48,113.0,165 kmph,165.0,,0.0,1.0,0,2,Sedan,Petrol,19.28 kmpl,35 litres,"₹3,050 - ₹4,700",1199 cc,84.48 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XT CNG MT,845000,₹8.45 Lakh,26.49,km/kg,35.0,4100.0,1199.0,72.41,95.0,160 kmph,165.0,,0.0,1.0,0,2,Sedan,CNG,26.49 km/kg,35 litres,"₹3,200 - ₹5,000",1199 cc,72.41 bhp @ 5500 rpm,95 Nm @ 2500 rpm,5-Speed Manual,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XZ Plus Petrol MT,867000,₹8.67 Lakh,19.28,kmpl,35.0,3875.0,1199.0,84.48,113.0,165 kmph,165.0,,0.0,1.0,0,2,Sedan,Petrol,19.28 kmpl,35 litres,"₹3,050 - ₹4,700",1199 cc,84.48 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XZ CNG MT,909000,₹9.09 Lakh,26.49,km/kg,35.0,4100.0,1199.0,72.41,95.0,160 kmph,165.0,,0.0,1.0,0,2,Sedan,CNG,26.49 km/kg,35 litres,"₹3,200 - ₹5,000",1199 cc,72.41 bhp @ 5500 rpm,95 Nm @ 2500 rpm,5-Speed Manual,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XZA Plus Petrol AMT,925000,₹9.25 Lakh,19.6,kmpl,35.0,3875.0,1199.0,84.48,113.0,165 kmph,165.0,,0.0,1.0,0,2,Sedan,Petrol,19.60 kmpl,35 litres,"₹3,050 - ₹4,700",1199 cc,84.48 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed AMT,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XZ Plus Lux CNG MT,1027000,₹10.27 Lakh,26.49,km/kg,35.0,4100.0,1199.0,72.41,95.0,160 kmph,165.0,,0.0,1.0,0,2,Sedan,CNG,26.49 km/kg,35 litres,"₹3,200 - ₹5,000",1199 cc,72.41 bhp @ 5500 rpm,95 Nm @ 2500 rpm,5-Speed Manual,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Tigor,XZA Plus CNG AMT,1032000,₹10.32 Lakh,28.06,km/kg,35.0,4100.0,1199.0,72.41,95.0,160 kmph,165.0,,0.0,1.0,0,2,Sedan,CNG,28.06 km/kg,35 litres,"₹3,200 - ₹5,000",1199 cc,72.41 bhp @ 5500 rpm,95 Nm @ 2500 rpm,5-Speed AMT,FWD,165 mm,5,No,Yes,2 (Dual Front),Not Available,
Kia,Sonet,HTE 1.2 Petrol MT,870000,₹8.70 Lakh,18.8,kmpl,45.0,4330.0,1197.0,82.0,115.0,170 kmph,205.0,,0.0,0.0,0,4,Compact SUV,Petrol,18.8 kmpl,45 litres,"₹3,930 - ₹4,730",1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4200 rpm,5-Speed Manual,FWD,205 mm,5,No,No,"4 (Dual Front, Side Front)",Not Available,
Kia,Sonet,HTX 1.0 Turbo Petrol iMT,1114000,₹11.14 Lakh,18.7,kmpl,45.0,4330.0,998.0,120.0,172.0,175 kmph,205.0,,0.0,1.0,1,4,Compact SUV,Petrol,18.7 kmpl,45 litres,"₹3,930 - ₹4,730",998 cc,120 bhp @ 6000 rpm,172 Nm @ 1500-4000 rpm,6-Speed iMT (Clutchless Manual),FWD,205 mm,5,No,Yes,"4 (Dual Front, Side Front)",Level 1 ADAS (select variants),
Kia,Sonet,HTE (O) 1.5 Diesel MT,1065000,₹10.65 Lakh,24.1,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,205.0,,0.0,1.0,0,4,Compact SUV,Diesel,24.1 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,205 mm,5,No,Yes,"4 (Dual Front, Side Front)",Not Available,
Kia,Sonet,GTX 1.5 Diesel MT,1338000,₹13.38 Lakh,24.1,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,205.0,,1.0,1.0,0,6,Compact SUV,Diesel,24.1 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,205 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Sonet,GTX Plus 1.5 Diesel AT,1489000,₹14.89 Lakh,18.6,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,205.0,,1.0,1.0,1,6,Compact SUV,Diesel,18.6 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Torque Converter Automatic,FWD,205 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (available on select variants),
Kia,Sonet,HTK 1.0 Turbo Petrol DCT,1430000,₹14.30 Lakh,19.2,kmpl,45.0,4330.0,998.0,120.0,172.0,175 kmph,205.0,,1.0,1.0,1,6,Compact SUV,Petrol,19.2 kmpl,45 litres,"₹3,930 - ₹4,730",998 cc,120 bhp @ 6000 rpm,172 Nm @ 1500-4000 rpm,7-Speed Dual Clutch Automatic,FWD,205 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (available),
Kia,Sonet,X-Line 1.0 Turbo Petrol DCT,1681000,₹16.81 Lakh,19.2,kmpl,45.0,4330.0,998.0,120.0,172.0,175 kmph,205.0,,1.0,1.0,1,6,Compact SUV,Petrol,19.2 kmpl,45 litres,"₹3,930 - ₹4,730",998 cc,120 bhp @ 6000 rpm,172 Nm @ 1500-4000 rpm,7-Speed Dual Clutch Automatic,FWD,205 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)","Level 1 ADAS (Adaptive Cruise Control, Lane Departure Warning)",
Kia,Sonet,GTX Plus 1.5 Diesel AT Dual Tone,1742000,₹17.42 Lakh,18.6,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,205.0,,1.0,1.0,1,6,Compact SUV,Diesel,18.6 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Torque Converter Automatic,FWD,205 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (available),
Kia,Sonet,HTX Plus 1.0 Turbo Petrol iMT,1242000,₹12.42 Lakh,18.7,kmpl,45.0,4330.0,998.0,120.0,172.0,175 kmph,205.0,,1.0,1.0,1,6,Compact SUV,Petrol,18.7 kmpl,45 litres,"₹3,930 - ₹4,730",998 cc,120 bhp @ 6000 rpm,172 Nm @ 1500-4000 rpm,6-Speed iMT (Clutchless Manual),FWD,205 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (available),
Kia,Seltos,HTE (O) 1.5 Petrol MT,1349000,₹13.49 Lakh,17.0,kmpl,50.0,4525.0,1497.0,113.0,144.0,175 kmph,200.0,,1.0,1.0,0,6,Compact SUV,Petrol,17 kmpl,50 litres,"₹4,350 - ₹4,700",1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,6-Speed Manual,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Seltos,HTK 1.5 Petrol MT,1519000,₹15.19 Lakh,17.0,kmpl,50.0,4525.0,1497.0,113.0,144.0,175 kmph,200.0,,1.0,1.0,0,6,Compact SUV,Petrol,17 kmpl,50 litres,"₹4,350 - ₹4,700",1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,6-Speed Manual,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Seltos,HTE (O) 1.5 Diesel MT,1537000,₹15.37 Lakh,20.7,kmpl,50.0,4200.0,1493.0,114.0,250.0,170 kmph,200.0,,1.0,1.0,0,6,Compact SUV,Diesel,20.7 kmpl,50 litres,"₹4,000 - ₹4,400",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Seltos,HTK 1.5 Diesel MT,1711000,₹17.11 Lakh,20.7,kmpl,50.0,4200.0,1493.0,114.0,250.0,170 kmph,200.0,,1.0,1.0,0,6,Compact SUV,Diesel,20.7 kmpl,50 litres,"₹4,000 - ₹4,400",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Seltos,HTK+ 1.5 Turbo Petrol DCT,1970000,₹19.70 Lakh,17.9,kmpl,50.0,4525.0,1482.0,158.0,253.0,180 kmph,200.0,,1.0,1.0,1,6,Compact SUV,Petrol,17.9 kmpl,50 litres,"₹4,350 - ₹4,700",1482 cc,158 bhp @ 5500 rpm,253 Nm @ 1500-3500 rpm,7-Speed Dual Clutch Automatic,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (available),
Kia,Seltos,HTK 1.5 Petrol CVT,1764000,₹17.64 Lakh,17.7,kmpl,50.0,4525.0,1497.0,113.0,144.0,175 kmph,200.0,,1.0,1.0,0,6,Compact SUV,Petrol,17.7 kmpl,50 litres,"₹4,350 - ₹4,700",1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,CVT Automatic,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Seltos,HTK 1.5 Diesel AT TC,1926000,₹19.26 Lakh,19.1,kmpl,50.0,4200.0,1493.0,114.0,250.0,170 kmph,200.0,,1.0,1.0,0,6,Compact SUV,Diesel,19.1 kmpl,50 litres,"₹4,000 - ₹4,400",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Torque Converter Automatic,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Seltos,GTX Plus 1.5 Diesel AT TC,2145000,₹21.45 Lakh,19.1,kmpl,50.0,4200.0,1493.0,114.0,250.0,170 kmph,200.0,,1.0,1.0,2,6,Compact SUV,Diesel,19.1 kmpl,50 litres,"₹4,000 - ₹4,400",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Torque Converter Automatic,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)",Level 2 ADAS (available on GTX+ variants),
Kia,Seltos,X-Line 1.5 Turbo Petrol DCT,2462000,₹24.62 Lakh,17.9,kmpl,50.0,4525.0,1482.0,158.0,253.0,180 kmph,200.0,,1.0,1.0,1,6,Compact SUV,Petrol,17.9 kmpl,50 litres,"₹4,350 - ₹4,700",1482 cc,158 bhp @ 5500 rpm,253 Nm @ 1500-3500 rpm,7-Speed Dual Clutch Automatic,FWD,200 mm,5,Yes,Yes,"6 (Dual Front, Side Front, Curtain)","Level 2 ADAS (Advanced - Adaptive Cruise, Lane Departure Warning)",
Kia,Carens,Premium (O) Petrol MT,1361000,₹13.61 Lakh,15.34,kmpl,45.0,3703.5,1497.0,113.99,144.0,170 kmph,195.0,,0.0,1.0,0,6,MUV,Petrol,15.34 kmpl,45 litres,"₹3,367 - ₹4,040",1497 cc,113.99 bhp @ 6300 rpm,144 Nm @ 4500 rpm,6-Speed Manual,FWD,195 mm,7-seater,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Carens,Premium (O) Diesel MT,1579000,₹15.79 Lakh,19.54,kmpl,45.0,4210.5,1493.0,114.41,250.0,174 kmph,195.0,,0.0,1.0,0,6,MUV,Diesel,19.54 kmpl,45 litres,"₹3,854 - ₹4,567",1493 cc,114.41 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,195 mm,7-seater,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Carens,Premium (O) CNG MT,1472000,₹14.72 Lakh,19.3,km/kg,45.0,3703.5,1497.0,113.99,144.0,165 kmph,195.0,,0.0,1.0,0,6,MUV,CNG,19.3 km/kg,45 litres,"₹3,367 - ₹4,040",1497 cc,113.99 bhp @ 6300 rpm,144 Nm @ 4500 rpm,6-Speed Manual,FWD,195 mm,7-seater,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Carnival,Limousine Plus Diesel AT,8009000,₹80.09 Lakh,14.85,kmpl,72.0,6535.0,2151.0,190.0,441.0,190 kmph,180.0,,1.0,1.0,1,8,Premium MUV,Diesel,14.85 kmpl,72 litres,"₹5,940 - ₹7,130",2151 cc,190 bhp @ 3800 rpm,441 Nm @ 1750-2750 rpm,8-Speed Torque Converter Automatic,FWD,180 mm,7-seater (6+1 captain seats option),Yes (Dual Panoramic),Yes,"8 (Dual Front, Side Front, Side Rear, Curtain)","Level 2 ADAS (Adaptive Cruise Control, Lane Keeping Assist, Auto Emergency Braking)",
Kia,Syros,HTE 1.2 Petrol MT,867000,₹8.67 Lakh,18.4,kmpl,45.0,4330.0,1197.0,82.0,115.0,170 kmph,210.0,,0.0,0.0,0,4,Compact SUV,Petrol,18.4 kmpl,45 litres,"₹3,930 - ₹4,730",1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4200 rpm,5-Speed Manual,FWD,210 mm,5,No,No,"4 (Dual Front, Side Front)",Not Available,
Kia,Syros,HTX 1.2 Petrol MT,1025000,₹10.25 Lakh,18.4,kmpl,45.0,4330.0,1197.0,82.0,115.0,170 kmph,210.0,,1.0,1.0,0,6,Compact SUV,Petrol,18.4 kmpl,45 litres,"₹3,930 - ₹4,730",1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4200 rpm,5-Speed Manual,FWD,210 mm,5,Yes (Single Pane),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Syros,HTX 1.2 Petrol iMT,1109000,₹11.09 Lakh,18.2,kmpl,45.0,4330.0,1197.0,82.0,115.0,170 kmph,210.0,,1.0,1.0,0,6,Compact SUV,Petrol,18.2 kmpl,45 litres,"₹3,930 - ₹4,730",1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4200 rpm,5-Speed iMT (Clutchless Manual),FWD,210 mm,5,Yes (Single Pane),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Syros,HTX 1.5 Diesel MT,1144000,₹11.44 Lakh,23.4,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,210.0,,1.0,1.0,0,6,Compact SUV,Diesel,23.4 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,210 mm,5,Yes (Single Pane),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Syros,GTX 1.5 Diesel MT,1352000,₹13.52 Lakh,23.4,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,210.0,,1.0,1.0,0,6,Compact SUV,Diesel,23.4 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,210 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Kia,Syros,GTX 1.5 Diesel AT,1519000,₹15.19 Lakh,19.8,kmpl,45.0,3679.5,1493.0,114.0,250.0,170 kmph,210.0,,1.0,1.0,0,6,Compact SUV,Diesel,19.8 kmpl,45 litres,"₹3,280 - ₹4,079",1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,6-Speed Torque Converter Automatic,FWD,210 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
